  Course   CHEF         WAITER       ST1        ST2        ST3        ST4        ST5        ST6        ST7
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      DIP          WFP         CWC        CWC        CWC        CWC        CWC        ETM        CWC
     1      DIP          WFP         CWC        CWC        ETM        CWC        CWC        ETM        CWC
     1      DIP          WFP         CWC        CWC        ETM        ETM        CWC        ETM        CWC
     1      DIP          ATS         CWC        CWC        ETM        ETM        CWC        ETM        CWC
     1      DIP          ATS         CWC        ETM        ETM        ETM        CWC        ETM        CWC
     1      DIP          ATS         CWC        ETM        ETM        ETM        CWC        ETM        ETM
     1      DIP          ATS         ETM        ETM        ETM        ETM        CWC        ETM        ETM
     1      DIP          ATS         ETM        ETM        ETM        ETM        ETM        ETM        ETM
     1      DIP          ATS         ETM        ETM        ETM        ETM        ETM        CWC        ETM
     1      DIP          ATS         ETM        ETM        CWC        ETM        ETM        CWC        ETM
     1      DIP          ATS         ETM        ETM        CWC        CWC        ETM        CWC        ETM
     1      DIP          ATS         ETM        CWC        CWC        CWC        ETM        CWC        ETM
     1      DIP          ATS         ETM        CWC        CWC        CWC        ETM        CWC        CWC
     1      DIP          ATS         CWC        CWC        CWC        CWC        ETM        CWC        CWC
     1      DIP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     1      PTC          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      PTC          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          ATS         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DLP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        CWC        CWC
     2      DIP          WFP         CWC        CWC        CWC        CWC        CWC        ETM        CWC
     2      DIP          WFP         ETM        CWC        CWC        CWC        CWC        ETM        CWC
     2      DIP          WFP         ETM        CWC        CWC        CWC        ETM        ETM        CWC
     2      DIP          ATS         ETM        CWC        CWC        CWC        ETM        ETM        CWC
     2      DIP          ATS         ETM        CWC        CWC        CWC        ETM        ETM        ETM
